Status,Country,SportType,Location,sport_center,Address,Link
INACTIVE,Hong Kong,Badminton,元朗區,天瑞體育館,天水圍天瑞路七號,https://www.google.com/maps?q=22.454722
INACTIVE,Hong Kong,Badminton,元朗區,天水圍體育館,天水圍天柏路一號,https://www.google.com/maps?q=22.455000
INACTIVE,Hong Kong,Badminton,元朗區,屏山天水圍體育館,天水圍聚星路1號,https://www.google.com/maps?q=22.447500
INACTIVE,Hong Kong,Badminton,元朗區,天暉路體育館,天水圍天瑞路63號,https://www.google.com/maps?q=22.464722
INACTIVE,Hong Kong,Badminton,元朗區,元朗體育館,元朗馬田路52號元朗文化康樂大樓3樓,https://www.google.com/maps?q=22.441389
INACTIVE,Hong Kong,Badminton,沙田區,恆安體育館,沙田馬鞍山恆安邨恆安商場四樓,https://www.google.com/maps?q=22.416667
INACTIVE,Hong Kong,Badminton,沙田區,顯徑體育館,沙田顯徑邨顯徑商場,https://www.google.com/maps?q=22.363056
INACTIVE,Hong Kong,Badminton,沙田區,馬鞍山體育館,沙田馬鞍山鞍駿街14號,https://www.google.com/maps?q=22.426111
INACTIVE,Hong Kong,Badminton,沙田區,美林體育館,沙田大圍美林邨第三期,https://www.google.com/maps?q=22.379167
INACTIVE,Hong Kong,Badminton,沙田區,沙田賽馬會公眾壁球場,新界沙田源禾路12號,https://www.google.com/maps?q=22.384722
INACTIVE,Hong Kong,Badminton,沙田區,源禾路體育館,新界沙田源禾路8號,https://www.google.com/maps?q=22.383056
INACTIVE,Hong Kong,Badminton,沙田區,圓洲角體育館,新界沙田銀城街35號,https://www.google.com/maps?q=22.379722
INACTIVE,Hong Kong,Badminton,沙田區,車公廟體育館,沙田沙田頭路10號,https://www.google.com/maps?q=22.372222
INACTIVE,Hong Kong,Badminton,大埔區,富亨體育館,大埔富亨邨商場一樓富亨體育館,https://www.google.com/maps?q=22.458333
INACTIVE,Hong Kong,Badminton,大埔區,富善體育館,大埔富善邨多層停車場6樓,https://www.google.com/maps?q=22.453889
INACTIVE,Hong Kong,Badminton,大埔區,大埔墟體育館,大埔鄉事會街8號大埔綜合大樓6樓,https://www.google.com/maps?q=22.446111
INACTIVE,Hong Kong,Badminton,大埔區,大埔體育館,大 埔 汀 太 路 1 3 號,https://www.google.com/maps?q=22.455278
INACTIVE,Hong Kong,Badminton,大埔區,太和體育館,大埔太和邨太和商場平台,https://www.google.com/maps?q=22.451111
INACTIVE,Hong Kong,Badminton,大埔區,東昌街體育館,大埔東昌街 25 號大埔東昌街康體大樓 3 樓,https://www.google.com/maps?q=22.337222
INACTIVE,Hong Kong,Badminton,北區,聯和墟體育館,新界粉嶺聯和墟和滿街9號3樓,https://www.google.com/maps?q=22.500278
INACTIVE,Hong Kong,Badminton,北區,龍琛路體育館,新界上水馬會道155號,https://www.google.com/maps?q=22.505000
INACTIVE,Hong Kong,Badminton,北區,天平體育館,上水天平邨天平商場3樓,https://www.google.com/maps?q=22.503333
INACTIVE,Hong Kong,Badminton,北區,和興體育館,粉嶺和鳴里8號,https://www.google.com/maps?q=22.484722
INACTIVE,Hong Kong,Badminton,北區,保榮路體育館,新界上水百和路19號,https://www.google.com/maps?q=22.496944
INACTIVE,Hong Kong,Badminton,西貢區,寶林體育館,將軍澳寶林邨,https://www.google.com/maps?q=22.325833
INACTIVE,Hong Kong,Badminton,西貢區,西貢壁球場,西貢惠民路,https://www.google.com/maps?q=22.383333
INACTIVE,Hong Kong,Badminton,西貢區,將軍澳體育館,將軍澳運隆路9號,https://www.google.com/maps?q=22.317222
INACTIVE,Hong Kong,Badminton,西貢區,翠林體育館,將軍澳翠林邨翠林體育館,https://www.google.com/maps?q=22.322222
INACTIVE,Hong Kong,Badminton,西貢區,坑口體育館,將軍澳培成路38號西貢將軍澳政府綜合大樓1-3樓,https://www.google.com/maps?q=22.317222
INACTIVE,Hong Kong,Badminton,西貢區,香港單車館,將軍澳寶康路105-107號,https://www.google.com/maps?q=22.313056
INACTIVE,Hong Kong,Badminton,西貢區,調景嶺體育館,將軍澳翠嶺路2號,https://www.google.com/maps?q=22.306111
INACTIVE,Hong Kong,Badminton,離島區,長洲體育館,長洲醫院路三號,https://www.google.com/maps?q=22.207500
INACTIVE,Hong Kong,Badminton,離島區,梅窩體育館,大嶼山銀石街9號梅窩巿政大廈1樓,https://www.google.com/maps?q=22.266944
INACTIVE,Hong Kong,Badminton,離島區,坪洲體育館,坪洲寶坪街6號坪洲巿政大廈地下,https://www.google.com/maps?q=22.285000
INACTIVE,Hong Kong,Badminton,離島區,海傍街體育館,長洲大興堤路2號長洲市政大廈1樓,https://www.google.com/maps?q=22.206667
INACTIVE,Hong Kong,Badminton,離島區,東涌文東路體育館,東涌文東路39號東涌市政大樓地下 東涌文東路體育館,https://www.google.com/maps?q=22.290556
ACTIVE,Hong Kong,Badminton,Clubhouse,One Silversea,"Olympic, Hoi Fai Road 1, Kowloon West",http://www.onesilversea.com
