Status,Country,SportType,Location,sport_center,Address,Link
INACTIVE, Hong Kong,Badminton,大埔區,富亨體育館,大埔富亨邨商場一樓富亨體育館,https://www.google.com/maps?q=22.458333,114.171389
INACTIVE, Hong Kong,Badminton,大埔區,富善體育館,大埔富善邨多層停車場6樓,https://www.google.com/maps?q=22.453889,114.174167
INACTIVE, Hong Kong,Badminton,大埔區,大埔墟體育館,大埔鄉事會街8號大埔綜合大樓6樓,https://www.google.com/maps?q=22.446111,114.166667
INACTIVE, Hong Kong,Badminton,大埔區,大埔體育館,大 埔 汀 太 路 1 3 號,https://www.google.com/maps?q=22.455278,114.165000
INACTIVE, Hong Kong,Badminton,大埔區,太和體育館,大埔太和邨太和商場平台,https://www.google.com/maps?q=22.451111,114.160556
INACTIVE, Hong Kong,Badminton,大埔區,東昌街體育館,大埔東昌街 25 號大埔東昌街康體大樓 3 樓,https://www.google.com/maps?q=22.337222,114.170000
INACTIVE, Hong Kong,Badminton,北區,聯和墟體育館,新界粉嶺聯和墟和滿街9號3樓,https://www.google.com/maps?q=22.500278,114.145000
INACTIVE, Hong Kong,Badminton,北區,龍琛路體育館,新界上水馬會道155號,https://www.google.com/maps?q=22.505000,114.130556
INACTIVE, Hong Kong,Badminton,北區,天平體育館,上水天平邨天平商場3樓,https://www.google.com/maps?q=22.503333,114.133611
INACTIVE, Hong Kong,Badminton,北區,和興體育館,粉嶺和鳴里8號,https://www.google.com/maps?q=22.484722,114.143056
INACTIVE, Hong Kong,Badminton,北區,保榮路體育館,新界上水百和路19號,https://www.google.com/maps?q=22.496944,114.128333
INACTIVE, Hong Kong,Badminton,西貢區,寶林體育館,將軍澳寶林邨,https://www.google.com/maps?q=22.325833,114.255000
INACTIVE, Hong Kong,Badminton,西貢區,西貢壁球場,西貢惠民路,https://www.google.com/maps?q=22.383333,114.275000
INACTIVE, Hong Kong,Badminton,西貢區,將軍澳體育館,將軍澳運隆路9號,https://www.google.com/maps?q=22.317222,114.259722
INACTIVE, Hong Kong,Badminton,西貢區,翠林體育館,將軍澳翠林邨翠林體育館,https://www.google.com/maps?q=22.322222,114.249444
INACTIVE, Hong Kong,Badminton,西貢區,坑口體育館,將軍澳培成路38號西貢將軍澳政府綜合大樓1-3樓,https://www.google.com/maps?q=22.317222,114.268333
INACTIVE, Hong Kong,Badminton,西貢區,香港單車館,將軍澳寶康路105-107號,https://www.google.com/maps?q=22.313056,114.262500
INACTIVE, Hong Kong,Badminton,西貢區,調景嶺體育館,將軍澳翠嶺路2號,https://www.google.com/maps?q=22.306111,114.254722
INACTIVE, Hong Kong,Badminton,離島區,長洲體育館,長洲醫院路三號,https://www.google.com/maps?q=22.207500,114.031111
INACTIVE, Hong Kong,Badminton,離島區,梅窩體育館,大嶼山銀石街9號梅窩巿政大廈1樓,https://www.google.com/maps?q=22.266944,113.996389
INACTIVE, Hong Kong,Badminton,離島區,坪洲體育館,坪洲寶坪街6號坪洲巿政大廈地下,https://www.google.com/maps?q=22.285000,114.038056
INACTIVE, Hong Kong,Badminton,離島區,海傍街體育館,長洲大興堤路2號長洲市政大廈1樓,https://www.google.com/maps?q=22.206667,114.028333
INACTIVE, Hong Kong,Badminton,離島區,東涌文東路體育館,東涌文東路39號東涌市政大樓地下 東涌文東路體育館,https://www.google.com/maps?q=22.290556,113.943889
